Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	aan de buitenkant	9	B	2, 10
2	3	die die zes	7	B	11, 17
2	3	dit zijn die	8	B	10, 17
3	2	dit zijn	18	B	0, 10, 17
2	2	aan de	9	B	2, 10
2	2	dat zijn	9	B	17, 25
2	2	die die	7	B	11, 17
2	2	die emmer	3	B	0, 2
2	2	en dan	16	B	2, 17
2	2	zijn het	3	B	0, 2
5	1	die	18	B	0, 2, 10, 11, 17
4	1	ja	17	B	9, 15, 21, 25
3	1	aan	18	B	2, 10, 19
2	1	dat	9	B	17, 25
2	1	drie	18	B	2, 19
2	1	en	16	B	2, 17
2	1	het	3	B	0, 2
2	1	met	11	B	0, 10
2	1	onderop	18	B	0, 17
2	1	vierkant	18	B	0, 17

