Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	dit zijn de hoofdvorm met	10	A	15, 24
2	5	twee uitsteeksel aan de rechterkant	10	A	15, 24
4	3	op zijn kop	25	A	0, 6, 16, 24
3	3	aan de rechterkant	23	A	2, 15, 24
2	3	een soort van	5	A	0, 4
2	3	en aan de	3	A	2, 4
2	3	ook een yoghurtbak	14	A	11, 24
4	2	de hoofdvorm	25	A	0, 15, 16, 24
4	2	hebben je	23	A	2, 4, 6, 24
4	2	op zijn	25	A	0, 6, 16, 24
3	2	een yoghurtbak	25	A	0, 11, 24
3	2	ook een	19	A	6, 11, 24
2	2	en linksonder	11	A	6, 16
2	2	ja nummer	6	A	23, 28
2	2	op de	16	A	1, 16
6	1	een	25	A	0, 4, 6, 11, 16, 24
6	1	ja	29	A	0, 4, 13, 19, 23, 28
5	1	en	23	A	2, 4, 6, 16, 24
5	1	hebben	25	A	0, 2, 4, 6, 24
4	1	twee	23	A	2, 15, 16, 24
3	1	klein	11	A	6, 11, 16
3	1	met	10	A	15, 16, 24
3	1	nummer	15	A	14, 23, 28
3	1	staaf	5	A	2, 3, 6
3	1	yoghurtbak	25	A	0, 11, 24
2	1	die	7	A	0, 6

