Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	6	en een haak aan de linkerkant	21	8	1	A	18, 21, 25
2	2	4	door het plateau heen	34	9	1	B	26, 34
4	1	3	aan de linkerkant	18	23	1	B	3, 18, 21, 25
3	1	3	door het plateau	26	10	1	A	25, 26, 34
2	2	3	die door het	26	2	1	A	25, 26
6	3	2	aan de	15	32	1	B	3, 15, 18, 21, 25, 34
4	1	2	door het	25	14	1	B	21, 25, 26, 34
4	4	2	een beetje	14	15	3	B	0, 5, 8, 14
4	1	2	een haak	32	15	1	A	18, 21, 25, 32
4	1	2	het plateau	26	23	2	A	12, 25, 26, 34
3	3	2	dat zijn	23	16	1	B	20, 23, 35
3	1	2	die door	25	25	1	B	2, 25, 26
3	3	2	heen zakken	34	14	2	B	21, 30, 34
2	2	2	er een	14	14	1	B	1, 14
2	2	2	ja nou	26	18	1	A	9, 26
2	2	2	zijn zakken	25	24	1	B	2, 25
12	7	1	een	11	33	5	B	0, 1, 3, 5, 8, 11, 14, 18, 21, 25, 30, 32
12	10	1	ja	4	26	1	B	3, 4, 7, 9, 10, 12, 13, 19, 22, 24, 26, 28
11	7	1	zijn	14	36	3	B	0, 1, 2, 14, 20, 21, 23, 25, 26, 30, 35
8	6	1	die	15	27	3	B	0, 1, 2, 15, 17, 18, 25, 26
8	3	1	het	12	33	2	B	2, 5, 12, 14, 21, 25, 26, 34
7	1	1	de	15	33	2	B	2, 3, 15, 18, 21, 25, 34
6	1	1	door	30	33	2	B	2, 21, 25, 26, 30, 34
6	4	1	en	18	30	2	B	3, 5, 18, 21, 25, 32
6	1	1	zakken	14	33	1	B	2, 14, 21, 25, 30, 34
5	1	1	haak	18	30	1	B	3, 18, 21, 25, 32
5	1	1	heen	34	33	4	B	2, 21, 26, 30, 34
5	5	1	ik	8	21	1	A	7, 8, 11, 26, 27
5	5	1	je	7	27	3	B	1, 3, 5, 7, 27
5	3	1	nou	9	24	1	B	3, 9, 12, 14, 26
4	1	1	dat	23	35	2	B	1, 20, 23, 35
4	4	1	twee	16	30	1	B	5, 16, 25, 34
3	3	1	bovenop	16	30	1	B	5, 16, 34
3	1	1	er	12	14	1	B	1, 12, 14
2	2	1	in	12	5	1	B	8, 12
2	2	1	kop	14	14	1	B	1, 14
2	2	1	precies	28	22	1	A	7, 28

