Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	met die poot en dan	15	4	1	A	12, 15
3	3	3	ja dat zijn	32	27	2	A	6, 31, 32
2	2	3	tafel met die	28	17	1	A	12, 28
5	2	2	dat zijn	8	27	1	A	6, 8, 19, 31, 32
4	1	2	met die	27	17	1	A	12, 15, 27, 28
3	3	2	dat tafel	28	19	2	A	10, 26, 28
3	1	2	en dan	12	14	1	B	2, 12, 15
3	1	2	tafel met	33	22	1	A	12, 28, 33
11	4	1	dat	12	27	1	A	6, 8, 10, 12, 13, 19, 20, 26, 28, 31, 32
11	7	1	met	5	34	2	B	0, 2, 5, 11, 12, 15, 17, 26, 27, 28, 33
9	7	1	ja	5	33	2	B	0, 3, 5, 6, 7, 9, 18, 31, 32
8	6	1	die	12	30	2	B	0, 2, 12, 15, 25, 27, 28, 29
7	4	1	en	5	32	1	B	2, 5, 12, 15, 27, 29, 33
7	7	1	het	11	34	1	B	0, 11, 12, 14, 24, 27, 33
7	2	1	tafel	10	34	1	B	0, 10, 12, 13, 26, 28, 33
7	2	1	zijn	6	33	1	B	0, 6, 8, 19, 26, 31, 32
6	6	1	poo	17	34	2	B	0, 2, 17, 27, 28, 33
4	4	1	een	12	13	3	B	0, 1, 2, 12

