Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	3	een soort van	7	24	1	A	0, 7, 19, 23
2	2	3	dit zijn de	46	5	1	A	42, 46
7	7	2	dat zijn	10	48	2	A	2, 5, 10, 28, 35, 39, 49
5	1	2	een soort	10	24	1	A	0, 7, 10, 19, 23
5	5	2	ja dat	24	34	2	A	2, 5, 24, 28, 35
5	5	2	met een	7	46	1	A	1, 7, 23, 37, 46
4	2	2	dit zijn	45	18	2	A	29, 42, 45, 46
3	3	2	zeggen maar	17	42	1	A	3, 17, 44
2	2	2	zijn het	20	19	1	A	2, 20
25	21	1	ja	9	47	4	A	2, 3, 4, 5, 9, 10, 14, 17, 19, 20, 21, 22, 24, 26, 27, 28, 30, 31, 34, 35, 39, 40, 41, 43, 48
22	12	1	zijn	6	48	2	A	2, 5, 6, 9, 10, 11, 12, 14, 17, 18, 19, 20, 25, 28, 29, 35, 39, 42, 43, 45, 46, 49
17	13	1	een	7	47	2	A	0, 1, 7, 8, 9, 10, 14, 17, 18, 19, 23, 32, 33, 37, 38, 40, 46
13	12	1	het	9	44	1	A	2, 9, 10, 11, 12, 14, 17, 18, 19, 20, 37, 44, 45
10	2	1	dat	40	48	2	A	2, 5, 10, 24, 28, 35, 39, 40, 44, 49
10	9	1	de	25	40	4	B	7, 10, 17, 18, 25, 29, 36, 38, 42, 46
10	5	1	met	7	46	2	A	1, 3, 7, 12, 23, 25, 29, 37, 42, 46
7	7	1	en	10	47	2	A	0, 3, 10, 36, 37, 38, 46
7	3	1	van	10	41	1	A	0, 7, 10, 17, 19, 23, 40
6	6	1	die	25	35	3	B	6, 17, 18, 25, 29, 40
6	2	1	dit	29	31	1	B	16, 29, 40, 42, 45, 46
5	5	1	dan	13	38	1	A	3, 13, 18, 34, 40
5	2	1	maar	7	42	1	A	3, 7, 17, 40, 44
4	4	1	bovenop	42	39	2	B	8, 32, 42, 46
4	4	1	rechthoek	8	40	1	A	3, 8, 9, 42
3	3	1	deze	25	20	2	B	6, 20, 25
3	3	1	vierkant	25	21	1	B	9, 25, 29
2	2	1	voor	34	30	1	A	5, 34

