Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	2	dat vierkant	12	B	12, 23
2	2	een pijpje	14	B	10, 23
2	2	soort van	2	B	0, 1
2	2	twee staaf	12	B	13, 24
6	1	en	23	B	1, 2, 10, 12, 13, 23
4	1	een	24	B	0, 10, 12, 23
4	1	ja	5	B	11, 12, 14, 15
4	1	pijpje	23	B	1, 10, 12, 23
3	1	die	13	B	0, 2, 12
3	1	twee	23	B	2, 13, 24
3	1	vierkant	24	B	0, 12, 23
3	1	zijn	12	B	1, 2, 12
2	1	bovenop	23	B	2, 24
2	1	dat	12	B	12, 23
2	1	de	24	B	0, 23
2	1	deze	12	B	12, 23
2	1	door	13	B	0, 12
2	1	emmer	13	B	0, 12
2	1	er	12	B	12, 23
2	1	roken	3	B	10, 12
2	1	van	2	B	0, 1

